Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Disagree Somewhat	Agree Strongly	Read	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	1	1	1	1	1	0	1	1	1	Agree Somewhat	Neither Agree or Disagree	Nothing	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	1	0	1	0	0	1	Go!	id92292	
Disagree Strongly	Neither Agree or Disagree	Other	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Disagree Strongly	Other	Agree Strongly	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id97142	
Disagree Strongly	No Opinion	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Disagree Strongly	No Opinion	0	1	0	0	0	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Don't Know	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id92018	
No Opinion	Agree Strongly	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	No Opinion	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	No Opinion	Government Controls	Agree Strongly	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	Disagree Strongly	No Opinion	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id90814	
Disagree Strongly	Disagree Strongly	Not App	Agree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Agree Somewhat	Disagree Strongly	Registry	Agree Strongly	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Disagree Strongly	0	0	0	0	0	0	0	0	1	0	0	Go!	id93338	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	1	0	1	0	1	0	1	1	0	Neither Agree or Disagree	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0		0	1	0	0	1	0	Go!	id96206	
Disagree Strongly	No Opinion	Reply	No Opinion	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	No Opinion	0	0	1	0	0	1	0	0	1	1	Disagree Strongly	No Opinion	Other	Agree Strongly	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id90976	
Disagree Strongly	No Opinion	Reply	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	No Opinion	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Somewhat	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id95025	
Neither Agree or Disagree	Neither Agree or Disagree	Read	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Strongly	Agree Somewhat	Agree Strongly	1	0	0	0	0	0	0	0	0	0	Agree Strongly	Agree Strongly	Nothing	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	0	1	0	0	0	0	1	0	0	0	1	Go!	id92219	
No Opinion	Agree Strongly	Delete	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	No Opinion	0	1	0	1	0	1	0	0	1	1	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	1	1	Go!	id98728	
Disagree Strongly	Neither Agree or Disagree	Not App	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Somewhat	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id96209	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	0	1	0	0	1	0	0	0	1	Disagree Strongly	Agree Somewhat	Registry	Neither Agree or Disagree	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	1	0	0	0	1	0	0	1	1	Go!	id91449	
Disagree Somewhat	Agree Strongly	Read	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	0	0	0	0	0	1	1	0	0	0	1	Go!	id92024	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Disagree Strongly	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Disagree Somewhat	Blacklist	Agree Strongly	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	Disagree Somewhat	Agree Strongly	Disagree Somewhat	0	0	0	0	0	1	1	0	1	1	1	Go!	id94713	
Agree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Strongly	Agree Strongly	Disagree Strongly	0	0	1	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Strongly	Other	Agree Strongly	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1		1	1	0	1	1	1	Go!	id96203	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	1	0	0	0	Go!	id99533	
Agree Somewhat	Disagree Somewhat	Delete	Agree Strongly	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	0	0	1	0	1	1	0	Go!	id81042	
Neither Agree or Disagree	Neither Agree or Disagree	Read	Disagree Strongly	Disagree Somewhat	Agree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	0	0	1	0	0	0	1	0	0	0	Neither Agree or Disagree	Neither Agree or Disagree	Impact Fee	Agree Strongly	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	Agree Strongly	Neither Agree or Disagree	Agree Strongly	0	0	0	0	0	0	1	0	1	1	1	Go!	id92373	
Disagree Strongly	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Disagree Strongly	Agree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1		1	1	0	0	1	1	Go!	id95822	
Agree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Agree Strongly	Agree Somewhat	0	1	0	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	0	1	1	1	1	1	1	Go!	id97290	
Neither Agree or Disagree	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	1	1	1	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	1	1	0	0	1	1	Go!	id92779	
Disagree Strongly	Neither Agree or Disagree	Read	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	1	1	0	0	1	1	Neither Agree or Disagree	Neither Agree or Disagree	Other	Disagree Somewhat	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	1	0	0	Go!	id93795	
Neither Agree or Disagree	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	Disagree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Somewhat	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1	0	1	1	0	0	1	1	Go!	id65346	
Disagree Strongly	No Opinion	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	1	0	0	1	0	Go!	id92231	
Disagree Somewhat	No Opinion	Not App	Agree Strongly	No Opinion	Disagree Strongly	No Opinion	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	No Opinion	Don't Know	Agree Strongly	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	No Opinion	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id99774	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	No Opinion	Agree Somewhat	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id91889	
Disagree Strongly	Disagree Strongly	Read	Neither Agree or Disagree	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Somewhat	Agree Somewhat	Nothing	Agree Strongly	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id97858	
Neither Agree or Disagree	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Neither Agree or Disagree	Agree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	0	0	0	1	0	0	1	0	0	1	0	Go!	id97861	
Disagree Strongly	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Disagree Strongly	0	0	0	1	0	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Neither Agree or Disagree	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	1	Go!	id93725	
Disagree Strongly	Agree Strongly	Read	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Somewhat	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id96006	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Strongly	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Somewhat	Neither Agree or Disagree	Impact Fee	Agree Strongly	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	0	1	1	1	0	1	1	0	0	1	1	Go!	id99110	
Disagree Strongly	Agree Strongly	Other	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	No Opinion	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	No Opinion	Agree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id98801	
Disagree Somewhat	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	1	0	1	0	1	0	0	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	0	0	0	1	1	Go!	id92036	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id99142	
Disagree Strongly	Agree Somewhat	Not App	Agree Strongly	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	1	1	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	1	0	1	1	Go!	id97424	
Agree Somewhat	No Opinion	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	No Opinion	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id99399	
Disagree Somewhat	Agree Strongly	Not App	Agree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	1	0	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Impact Fee	Agree Strongly	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id92661	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1	0	1	1	1	0	1	1	Go!	id98729	
Disagree Strongly	Agree Strongly	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	No Opinion	0	1	1	1	0	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id94366	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	Agree Strongly	0	0	0	0	0	1	0	0	1	1	Disagree Somewhat	Agree Strongly	Other	Agree Strongly	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	1	1	Go!	id95162	
Disagree Somewhat	Agree Strongly	Delete	Agree Strongly	No Opinion	Agree Somewhat	Neither Agree or Disagree	No Opinion	No Opinion	0	1	0	0	0	0	0	0	0	0	Neither Agree or Disagree	Disagree Strongly	Impact Fee	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id98143	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1	0	1	0	1	1	1	Disagree Strongly	Agree Strongly	Nothing	Agree Strongly	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id97849	
Neither Agree or Disagree	Neither Agree or Disagree	Other	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Disagree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	1	1	1	Go!	id62501	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Somewhat	Neither Agree or Disagree	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Somewhat	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	0	0	0	1	0	1	1	0	1	1	1	Go!	id62655	
Disagree Strongly	No Opinion	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	No Opinion	0	1	1	0	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	1	1	0	Go!	id96007	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Agree Somewhat	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id91973	
Disagree Strongly	Neither Agree or Disagree	Not App	Disagree Somewhat	Disagree Strongly	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Don't Know	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id92855	
Disagree Strongly	No Opinion	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	0	0	0	1	1	1	0	0	1	1	Disagree Somewhat	Agree Strongly	Registry	Agree Strongly	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id93727	
Disagree Strongly	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	No Opinion	Agree Strongly	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	No Opinion	Other	Neither Agree or Disagree	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id90510	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	0	1	0	0	0	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Somewhat	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	0	1	0	0	0	0	1	0	0	1	0	Go!	id97065	
Disagree Somewhat	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	0	1	1	1	1	1	0	0	1	1	Disagree Strongly	Disagree Somewhat	Other	Agree Strongly	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id94624	
Agree Somewhat	Agree Strongly	Reply	Disagree Strongly	Agree Strongly	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Disagree Strongly	1	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Agree Somewhat	Disagree Somewhat	Agree Strongly	0	1	1	1	0	1	1	0	1	1	1	Go!	id92719	
Disagree Strongly	Agree Somewhat	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	1	0	0	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id97161	
Agree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Somewhat	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	0	1	1	0	0	1	1	Go!	id91969	
Disagree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	1	0	0	0	1	0	0	1	0	Disagree Somewhat	Disagree Somewhat	Registry	Agree Strongly	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id18079	
Agree Somewhat	Agree Somewhat	Delete	Disagree Somewhat	Disagree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	1	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Impact Fee	Agree Somewhat	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	0	1	0	0	0	0	1	Go!	id96734	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	No Opinion	Agree Strongly	No Opinion	1	1	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id95145	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	1	0	Go!	id97959	
